Q,A
패디나 할까,기분전환을 해보세요
놀이공원 알바하면 재밌겠지,특별한 경험이 될 것 같아요
제가 집착하는 중이에요,사랑은 소유하는 것이 아니랍니다
할말 다 했는데 실수한건가,남에게 피해만 주지 않는다면 상관 없어요
맛있는 거 먹는데 생각나는 사람,그게 진짜 사랑이네요
눈물,지금은 우세요
긴장을 해서 그런가,어려운 일이 있을 때 긴장이 되는 건 자연스러운 일이라고 생각해요
조금씩 배고프네,간식이라도 챙겨드세요
오늘 점심은 뭐 먹을까,일식으로 돈가스 어떠신가요
잘살고있니,잘 살고 있을 거예요
학원 선생님을 좋아하는데 티내면 안되겠지,티 내도 귀여울 것 같아요
인생 잘 못 산건가,태어난 것만으로도 성공한 인생이에요
여친 생겼는데 호칭 어떻게 함,생각나는 대로 해보세요
사랑이 뭐가 대수라고,사랑은 살아가면서 정말 중요한 감정이예요
앞으로 나가지 않고 이렇게만 살고싶어,꼭 앞으로 나가야 하는 건 아니에요
내가 무능력하게 느껴져,잘할 수 있는 게 다른 거예요
오늘 너무 바쁘다,이런 날 쉬는 시간에 산책하는 건 어떨까요
사랑하는 사람이 있어,어서 어서 고백해봐요
동성 친구들이 편해,저는 성이 없어요
분위기 좋았는데 망,서로를 향한 감정도 좋았겠죠
사랑하는데 외로워,외롭다고 당신의 감정을 솔직하게 말해보세요
남편한테 서운한거 얘기해도 될까,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요
남자 화장하는 거 어때,적당히 하면 괜찮을거 같아요
내 친구가 내 짝남 욕을 계속 해,친구가 좋아하는지 모르고 있나 봅니다
봄 오니까 나도 썸 타고 싶어,썸 타기 좋은 계절이에요
주전에 헤어졌습니다,힘들겠네요
남자친구가 잘못을 해도 다 공감해주는게 옳은걸까,공감을 해주면서 잘못을 고치도록 유도해보세요
올해 왜 이러지,사주를 한번 봐봐요
사랑이후 다시 세상은 회색빛으로,다시 무지갯빛이 될 거예요
주저리주저리 푸념글,네 말씀해주세요
좋은 관계 어떻게 유지하지,서로에게 좋은 영향을 주는 관계입니다
영양제 챙겨 먹을 나이가 됐어,건강은 어려서부터 챙겨야해요
생리통 때문에 배 아파,힘들겠어요
아 배부르다,점심식사는 어떠셨습니까
좋아하는 여자애한테 밥 먹자고 했는데 바쁘다고만 해,진짜 바쁜건지 거절인건지 알아보세요
미세먼지가 너무 많아 하늘이 뿌옇다,살기 더 힘들어졌어요
모든 일이 어려워,지금 많이 위축된 상태인 것 같습니다
좋아하는 오빠가 날 어리게만 봐,오빠 동생 사이로 지낸 기간이 있으면 그럴 수 있어요
시간이 왜이렇게 안 갈까,그래도 무리하지 마시고 힘내세요
전화하면서 잠들고 싶다,낭만적이네요 전화해보세요
클럽에서 만나서 사귀는거 어떻게 생각해,어디서 만났든 그 후가 중요해요
졸업 사진 망했다,망해도 자연스러우면 좋겠네요
머리 깎아야지,예쁘게 깎아요
짝남 전여친 못잊는거 보는게 너무 맘이 아파,그것을 지켜볼 수 밖에 없는게 제일 속상해요
카풀해볼까,경제적으로 도움이 되겠네요
청첩장 돌리기 귀찮아,축하해주실 분들을 진심을 담아 초대해보세요
밤새 술마셨나봐,신경을 끄세요
에휴 왤케 머리속에서 계속 멤돌까,사랑했던 사람이니까요
운동 매일러 가기 힘들다,꾸준한게 제일 힘들어요 습관으로 만들어보세요
자꾸 다시 만나게 되는데 무슨 방법이 좋을까,행동반경이 비슷한가봅니다
반장을 좋아해,반장이 멋진가봐요
사람에 치여,너무 힘드시겠어요
짝사랑 하니까 감정 기복 장난 아님,사랑이 내맘같지 않아서 그렇게 되나봐요
오늘은 뭐 먹는게 좋을까,제육덮밥 어떠신가요
개념이 없어,그게 제일 중요한 건데요
그래서 한참동안 소파에 앉아서 숨만 골랐어요 죽을 것 같아서,정말 무서우셨겠어요 제가 옆에서 꼭 힘이 되어 드릴게요
키 왜 안 크지,신경쓰면 스트레스 받아요
나 얘를 좋아하는 걸까,있었던 일을 차분히 생각해봐요
미용실 가야지,예쁘게 변신하고 오세요
남자친구랑 종교 문제로 다툼,종교의 자유를 인정해주세요
사진 잘 찍고 싶어,많이 찍다보면 조금씩 실력이 늘거예요
나만 구질하게ㅜㅜ,구질구질해도 괜찮아요
고양이 키우고 싶어,자신을 먼저 키우세요
답례품 뭘로 할까,마음으로 충분할 거예요
만나자고 약속 잡는 것도 귀찮아,자신하고 만나는 시간도 중요해요
사랑을 했다,우리가 만나
그래 짜장면 먹어야겠다,식사 맛있게 하세요
이러는 내가 너무 싫다,자책하지 말아요 마음이 아프네요
긴장 푸는 법 알려줘,크게 숨한 번 쉬어 보세요
오늘 그 사람 생일이네,생각날 수 밖에 없다고 생각해요
면도 귀찬하,지저분해요
그는 나를 어떻게 생각할까,글쎄요
간암도 초기에는 잘 모른다고 하니까 내가 간암일 수도 있지 않나 내가 간암이면 어쩌나 그런 걱정도 해,혹여나 그렇다고 하더라도 조기에 발견하면 완치할 수 있을 거예요
이별 일째,금방 지나갈 거예요
이별  그 아픔을 잊는 시간의 두려움이란,사람을 잊는다는 건 쉬운 일이 아니니까요
요즘 일이 좀 많긴 했어요 분기 거의 막바지라,몸이 바쁘면 정신도 같이 지치기 마련인 것 같아요 
그날 이후로는 잠을 잘 수도 밥을 먹을 수도 없어요,스트레스 받는 일이 있으신가요 저에게 고민 상담을 하셔도 돼요
밥맛도 없고 잠을 깊게 못 자요,힘든 일이 있으신가 봐요 저는 항상 여기에서 당신을 기다려요 편할 때 말씀해주세요
헤어진 날 부터 오늘까지,하루도 빠짐없이 힘들었나요
끼 부리는 사람 어때,나한테만 부리면 좋아요
빵 한 개만 먹어야지,맛있게 드세요
정리가 도저히안됩니다지금도 그여자집앞,무작정 찾아가는 것은 실례에요
재미없는 일밖에 없어,활기찬 사람을 만나보시면 생각이 바뀔 수도 있어요
놀다 보니까 여러 사람하고 어울리게 되고 좀 잘해주는 남자가 있어서 만났어요,연애는 언제나 가장 흥미로운 주제인 것 같아요 더 들려주세요
날씨 알려줘,오후에 비가 올 예정입니다
끝,또 다른 시작
나 아재인가,고민하고 있으면 그럴 거예요
오늘 점심은 뭐 먹을까,오늘은 떡볶이 어떠세요
속이 계속 안 좋아,신경 쓸 일이 있나봐요
부모님이 선 보래,많이 만나보세요
이별은 필수입니다,그러면서 성장을 해나가는 거예요
가만히 누워있으면 뭔가 시계소리 같은 게 규칙적으로 들렸어요 정확히 뭔지는 모르겠어요,소리는 어떻게 할 수도 없어서 더 힘든 것 같아요 지금은 괜찮으신가요
응 좀 쉬었다가 할게,얼마 안남았어요 힘내세요
여자친구가 스킨십이 너무 없어,좀 더 편한 분위기를 만들어보세요
울적해서 거리를 걷고 있어,걷다보면 조금 정리가 될 거예요
뱃살 빵빵,운동 해보세요
좀 쉴게,좋은 생각이에요
부모님한테 반항했어,나중에 후회할 거예요
택시비 많이 나왔어,후회해도 늦었어요
축구 잘해,운동 잘하는 사람 멋있죠
리치치즈피자 먹고 싶다,배달 시키세요
좋아하는 사람한테 도와달라고 해볼까,좋아하니까 도와주었다고 생각하게 될 거예요
쌩얼인데 짝남 만났어,당황 했겠어요
월부터 먹는 걸로 스트레스 풀었던 거 같아 ,속이라도 버릴까 걱정 되네요 스트레스 해소로 가볍게 산책을 해보는 건 어떨까요
여자친구와 헤어진지 일,금방 지나갈 거예요
밤샜어,몸이 힘들게네요
동호회 재미 없어졌어,취미생활은 좋은 거예요
천재 같아,감사합니다
마음이 떠났데,그럼에도 마음이 정리가 안되나봐요
기다리고 있습니다,기대를 조금씩 버려보세요
변화를 좀 주고 싶다,긍정적으로 바뀔 수 있어요
아니 그런건 아니야,기운 내세요
이사 도와줘야 할까,큰 도움이 될 것 같아요
그런데 살아보니까 그렇지도 않아요,그런 일이 있으셨군요
술 한잔 했더니 너무 보고 싶네,술 기운이 그렇죠
청첩장 고르고 있어,둘 만의 추억이 담긴 청첩장을 만들어 보는곳도 좋을거같아요
남자친구한테 아무리 말해도 자기 말만해,대화를 할 수 없겠네요 부드럽게 요구해보세요
헤어진 여친이 페북이나 인스타그램 사진 안지우는게,바빠서 그럴 수도 있어요 신경쓰지 않는 연습을 해봐요
점심이 너무 별로였어,내일은 더 괜찮은 식사를 하실 거에요
날씨 알려줘,오후에는 비가 올 것으로 예상합니다
연인인데 정치견해가 달라,정치 이야기는 빼고 하세요
현금만 쓸까봐,현금영수증은 꼭 발급받으세요
시험을 완전히 망쳐서 가고 싶었던 대학에 못 들어갔어요 ,운이 나빴던 거라고 생각해요
남자친구 자취 선물로 뭐가 좋을까,직접 물어보는 게 편할 거 같아요
여자친구 요구가 심해져,모두 맞춰줄 필요는 없어요
참으면 성공할 수 있을까,인내할 수 있는 사람이라면 무엇이든 손에 넣을 수 있을 거예요
너무 힘들어서 지금 옥상에 올라왔어,옥상 추워요 내려오세요
여행 어디가지,편하게 쉴 수 있는 곳이 좋을 거예요
클럽 좋아하는 남자는 좋아하면 안되겠지,같이 가서 놀아보면 깰 거예요
학교에서 아싸해도 될까,개인의 선택이죠
좋아하는 애가 연예인에 관심이 많은데 나는 관심이 없는데 무슨 얘기하지,모르니까 알려달라고 해보세요
바람이 너무 많이 부네,감기 조심하세요
술 잘하니,저는 주당이에요
놀이동산에 자이로드롭을 타고서부터 컨디션이 계속 안 좋았어 장기가 중력을 심하게 받아서 그런가,휴식이 필요한 시기 아닐까요 잠시 숨을 돌려보세요
그때 스트레스가 좀 심했거든요 그 회사가 워낙 일이 빡빡해서,사소한 것들이 쌓여서 화가 되는 것 같아요 무슨 일 있으셨어요
정시에 딱 퇴근할거야,오늘도 수고하셨습니다
짜장면 좋지,식사 든든하게 드세요
다시 돌아오거나 연락이 올까,간절히 원한다면 지금 연락해보세요
썸 타는 시간,사람마다 다르겠지요
헤어지고 나서 만나기로,이번엔 후회 안 할 자신 있길 바랍니다
그녀를 다시 찾았습니다,다행이네요
술 먹고 카드 긁었어,술이 웬수예요
내가 좋아해도 될까,누구나 좋아할 권리가 있어요
배고파,뭐 좀 챙겨드세요
다 힘들겠지,누구나 힘들어요
무기력한 것일뿐,자신의 감정을 주변 사람들에게 터놓고 이야기해보세요
운동화 신을까 구두 신을까,구두로 멋을 내보세요
피곤하다,산책 다녀오시는건 어떠세요
나 썸타는 것 같은데 설레발인 부분,고민 하고 있으면 썸의 가능성이 높겠네요
살이 넘었는데 짝사랑 계속해도 될까요,물리적 나이는 상관이 없어요
월급 입금됐다고 문자 왔어,까아 축하해요
결정은 빠르면 빠를 수록 좋겠지,자신을 위한 결정을 내리길 바라요
나랑 썸 타는 줄 알았는데 내 동기랑 사귐,찔러본 건가봐요
화장실 급해,화장실 가세요
조금만 움직여도 피로가 금방 느껴지니까 생활 반경이 작아지는 게 느껴져요,맑은 공기를 쐬며 산책을 하는 것도 피로 회복에 정말 좋다고 해요
오늘도 출근을 합니다,언젠간 휴식이 찾아오길
친구랑 나랑 자꾸 비교하게 돼,비교하면 끝도 없어요
오늘은 뭐 먹는게 좋을까,날씨가 쌀쌀하니까 칼국수가 좋을 것 같네요
너무 답답해요,안 좋은 상황이신 거 같아요 무슨 일인지 저에게 자세히 얘기해줄 수 있을까요
보름달 떴다,소원을 비세요
이별을 극복하면서 참 많이 힘들기도 했었네,힘들지 않았다면 거짓말일 거예요
이별후 주 아니 차인후 주,이별을 받아들일 시간이 필요했을텐데
몇 년 만에 썸 타는 거라 어떻게 연락을 해야할지 모르겠어,그럴 수 있어요 안부인사나 관심사로 시작하는 건 어떨까요
대학 가면 행복할까,행복은 마음 가짐에 있어요
짱 추워,오늘 강추위래요
퇴근하고 놀고 싶다,몸과 마음이 좀 쉬어야 할 것 같아요
스트레스,잘 푸는 것도 중요해요
조금씩 배고프네,간식으로 빵을 드시는 건 어떠세요
아 너무 배불러,점심식사 어떠셨나요
이별 개월째네,이젠 좀 괜찮아졌길 바랍니다
연락을 하면 안되는구나,이제부터 안하면 돼요
염증 때문에 병원에 자주 다니다 보니까 환자들을 많이 보게 돼,그러셨군요 몸이 아프면 덩달아 마음도 힘들어지는 것 같아요
나는 모자란 사람인 거 같아,모자라지 않아요
제외국어 뭐 선택할까,요즘은 잘 안 배우는 언어도 좋은 거 같아요
이상한 말을 해,더 열심히 노력하겠습니다
소개팅남 연락이 없어,하루 그 이상이면 끝인거예요
멍 때리기,잠깐씩 멍때리는것도 정신건강에 좋아요
불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다
물 많이 마셔야 돼,좋은 습관이에요
아이스크림이 오랜만에 사먹는데 너무 비싸,할인점에서 사먹으세요
마음에 안 차는데 만나도 돼,변화 가능성을 생각해보세요
내일 소풍간다,두근거리겠네요
살 때는 제 밥 다 먹고 동생 것도 엄청 먹다 체한 적도 있어요,속이 더부룩하시다니 정말 힘드셨겠어요 소화제를 먹어보는 건 어떠신가요
내가 좋아하는 애가 날 좋아하는 것 같으면 갑자기 정 떨어지고 뭔가 싫어짐,어떤 심리일까요
블랙데이인데 짜장면 같이 먹을 사람이 없어,짜장면은 혼자 먹어도 맛있어요
먼지 싫다,마스크 쓰고 다니세요
극복 연락 흔들림,다시 극복해봐요
어쩌다 운 좋게 다시 원래 다니던 회사 들어왔어요 다행이었죠,다시 일을 하니 어떠세요
친구 사귀는 방법,먼저 다가가고 알아가야죠
나 말 실수한 거 같아,곰곰히 되짚어보세요
나 사랑할 준비 됐나,된 것 같네요
내일 그녀 생일이네,잊어버리세요
퇴근 시간 얼마나 남았지,얼마 안남았습니다
좋아하는 사람의 호감을 살 수 있는 방법이 뭐가 있을까,관심사에 대한 호감을 드러내 보세요
내가 다른 무슨 말을 하겠어,하고 싶은 말 다하세요
년 만났어,딱 좋을 때네요
좋아하는 사람 앞에서 쪽팔린 경험이 너무 많아,추억을 쌓았다고 생각해보세요
넋두리,해보세요
개월째,이별 중인가봐요
맞지 않더라도 대화로 잘맞아갈수 있을까,서로 배려하면 가능하죠
다 정리된 상태에서 헤어지면 후폭풍 없나,후폭풍은 언제나 옵니다
오늘따라 좀 피곤하다,고민 있으신가요 말씀해보세요
정말 오락가락 언제 괜찮아질지,사랑의 흔적이 잘 안 지워지네요
기프트콘으로 선물 해야겠다,직접 주는 게 더 좋을 것 같아요
남은건 너의 빈자리,빈 자리도 채워질 거예요
아무 데도 안 나가고 집에 있고 싶다,집에서 쉬는 시간도 필요해요
나만 빼고 다 잘났어,가끔 헤맬 때는 있겠지만 저는 당신이 잘 해나가고 있다고 생각해요
술먹고 집앞에 찾아온남자,상대에게 휘둘려선 안 돼요
이 멍충아,좋은 말만 해주세요
흑기사 해주는 짝남,설렜겠어요
친구가 배아플 정도로 잘 됐어,친구가 아닌가봐요
오늘은 좀 피곤한 것 같아,휴식을 가지시는게 일의 효능을 높일 수 있어요
남자친구 오지랖 너무 많아,좋은 오지랖이었으면 좋겠네요
기숙사 괜찮을까,혼자 사는 것보다 불편하겠죠
수학여행가는데 옷 뭐입을까,뭘 입어도 멋져요
슬퍼 그리고 아려,상처에 약을 발라 드릴게요
행복해하는 널보며,많이 사랑했나봐요
저도 살아 숨쉰다는 느낌을 받고 싶어요 지금은 죽어있는 느낌이예요,누구나 삶에서 방황하는 때가 있다고 생각해요
썸남한테 빼빼로 줄까,표현하는 게 좋겠죠
뭐 먹지,오늘은 떡볶이 어떠세요
점심으로 뭐 먹는게 좋을까,제육덮밥 어떠신가요
신혼인데 남편이랑 자주 부딪혀,아예 다른 삶을 살다가 하루 아침에 같이 살게 된 거니까요
회사에서 마음 편한 사람이 없어,회사에는 동료가 있을 뿐이에요
예능도 이제 재미없어,잘 찾아보세요
복근 만들어야지,윗몸일으키기 시작하세요
성격이 완전 반대야,슬프네요
일을 거지같이해,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠
중국어 있는게 좋겠지,중문 있으면 좋아요
원래 일은 혼나면서 배우는 거야,그냥 배워도 돼요
변기 막혔는데 아무 생각이 안 난다,얼른 뚫어보아요
아무것도 없는데 귀에서 벌레 날아다니는 소리가 계속 들리거든,소리는 스스로 어떻게 할 수가 없어서 더 힘들 것 같아요 힘든 마음 충분히 이해해요
여자친구에게 힘들때 어떻게 해,이야기하고 의지해요
증오,자신으로 향하지 않길 바랄게요
안경 빼니까 예뻐보여,그런 일이 가능한지 몰랐네요
주식 대박 남,주식으로 망하는건 한순간이예요
헤어진지 개월,이제 좀 괜찮아졌길 바랍니다
다리 떨면 안 좋아,의식하는 다리 떨기는 괜찮대요
남자친구가 사업 시작한대,바쁠때 힘이 되어 주세요
좋아하는 여자 때문에 너무 심각해요,여유를 갖고 생각해보세요
거의 매일 술,술 많이 드시면 더 무너져요
애들한테 미안해 죽겠어요,너무 자책하지 마세요 고의가 아니었잖아요
서점 왔어,마음에 드는 책을 잘 찾아보세요
자장가 불러 달랬더니 불러줬어,로맨틱해요
정신과 찾아 왔어,정신과에서 상담치료 받는거 꺼리지 말고 너무 힘들면 시작하세요
건강 빨리 회복해야지,세상의 무엇보다 건강이 제일 중요해요
오늘따라 좀 피곤하다,잠시 휴식을 취하는 것도 좋은 방법이에요
여친에게 운동을 하자고 어떻게 돌려말하지,같이 운동하자고 해도 괜찮을 거 같아요
진짜 배부르다,점심식사 어떠셨나요
결국 완전 끝낫네,이제 시작이죠
남친 연상인데 오빠라고 불러야 해,호칭은 마음대로 골라보세요
좋아하는 여자애 생겼는데 떨려 죽겠음,설렘을 감추는게 더 힘들 때네요
안녕,안녕하세요
필름 끊겼었네,위험하네요
아직도 그대로인걸,변하는 건 사랑이겠죠
다른 사람들은 저러고 살아서 행복할까,가끔 길을 잃을 때가 있죠 그럴 땐 천천히 쉬어가는 것도 좋은 방법 같아요
하루 이틀 이제는 사흘,익숙해질 거예요
그 사람이 날 좋아하는 이유가 뭘까,그 자체죠
세금 너무 많아,그런 감이 없지 않죠
그녀의 모습을 보는 마지막 순간,흔들릴 수 밖에 없었겠네요
사람들한테 안 맞춰줘도 되고 편하니까 점점 혼자 다니게 되더라고요,스트레스 받는 일이 있으셨군요 저에게 털어 놓으셔도 괜찮답니다
면허 딸까봐,운전하는거 재미있어요
끝이보였던 연애,연애하면서 힘들었겠어요
몸에서 멀어지면 맘에서도 멀어진데,장거리 연애 힘들겠죠
지금 가장 힘든 거는,자신일 것입니다
어렸을 때 공부 좀 할 걸,지금도 늦지 않았어요
객관적으로 짝남 별로인걸 아는데도 좋아해 이런 내가 너무 싫어,짝사랑이 판단력을 흐리게 만들죠
야근할 줄 모르고 약속 잡았어,양해를 구해보세요
평범함 속에 웃음 속에 감쳐진 나,저도 그럴 때가 있답니다
남자친구와 여사친이 너무 친해,사귀면 좀 덜 만나는 게 예의일 텐데요
너무 잘하는 후배가 들어왔어,배울 점은 배우세요
지금 상태가 너무 안 좋아서 학교 안 나가고 있어요 ,상태가 더 안 좋아지셨군요 걱정이 되네요
자율주행 자동차 나오겠지,가까운 미래에 나올거 같아요
커플 사진 보니 더 슬퍼,이제 더 이상 보지 마세요
자주 가는 카페 알바생이 나를 자주 뻔히 쳐다보는데 이거 그린라이트일까,씨익 웃어주세요
남자친구에게 적극적으로 표현할까 아니면 도도하게 하는게 좋을까,왔다갔다 밀당해보세요
남편이 처음부터 날 때렸던 건 아니에요,잠시라도 떨어질 수 있는 방법이 없을까요 너무 마음이 아파요
스터디 카페 왔어,공부하러 왔나봐요
셀카 잘 찍는 방법,얼굴이 준비되어야 겠지요
오늘따라 좀 피곤하다,산책 다녀오시는건 어떠세요
짝녀한테 영화 보자고 그냥 해볼까,용기를 내서 말해보세요
그래도 조마조마할 때가 있긴 해,초조한 기분이 심해질 땐 크게 기지개를 켜보는 건 어때요
주가지나가네,시간이 더 많이 지나가길 바랄게요
남편이랑 사이는 좋아요,남편 분과 사이가 좋은 것 같아 저도 행복해요
내 외모 맘에 안들어,자신감을 가져도 돼요
배불러,점심식사는 괜찮으셨나요
년간 만난 여자친구와의 이별,애석하게도 헤어지셨네요
밤새 그리워서 편지 썼어,받으면 참 좋을 것 같아요
쉬엄 쉬엄 해야겠어,네 쉬었다가 하세요
목소리 듣고싶어,듣고 나면 더 그리울 거예요
여자친구 스타일이 마음에 안들어,선물해 주면서 조금씩 변화시켜 봐요
내가 그렇게 부족한가,인생은 채워나가는거죠
지금의 나에겐 없는 너의 일상,한동안은 허전할 거예요
여자친구 집까지 데려다주려고,매너 있네요
나한테 냄새 날까,킁킁
깨달음은 늘 늦게 온다,어느 결정을 하든 후회가 남기 마련이지요
내가 좋아해도 될까,좋아하는데 자격은 없어요
책 빌려봐야지,도서관 다녀오세요
그래서 이거 상담 차 한 번 와봤어요,병원을 곧바로 찾아가지 못하는 사람들도 많다는 건 아시죠 당신의 용감함에 박수를 보내고 싶어요
썸인지 아닌지 확인하는 방법 있어,주말 저녁에 약속을 잡아보세요
확실한 건 뭘까,가장 확실한 시간은 오늘이에요 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요
오늘은 미팅이 많아,오늘 하루도 힘내세요
생판 모르는 사람이 아는척해,세상에는 예상하지 못한 일들이 자주 일어나는 것 같아요
집앞에서 첫사랑 만남,우연한 만남이네요
자취해야할듯,제대로된 독립이 되길 바라요
너무나 와닿는그런 표현이 아닐까 하네,공감되는 표현이에요
환승할까,환승은 분 안에
나 오늘 따라 잘생겨 보이네,자신에게 콩깍지가 씌였나봐요
사랑하는 사람 잊는 법,충분히 아파하면서 충분한 시간이 필요할 거예요
화장으로 여드름이 가려질까,중요한 날에만 가리세요
점심으로 뭐 먹는게 좋을까,오늘은 떡볶이 어떠세요
신경쓰지 말아줄래 라고 하네,이제 정말 끝인가봐요
문자 왔다는데 읽다가 눈물샘 터졌어,마음껏 우세요
회의 때 말 좀 잘했으면,다음에 잘 하면 돼요
짝남이 정말 친절한데 모두에게 그럴까,다른 사람한테도 그런지 지켜보세요
나만 힘든건지,아닐 거예요
낼 짝녀한테 잘 보이고 싶어,실수하지 않는다면 잘할거라 생각해요
안녕하세,안녕하세요
할 말이 많은데,말해보세요
서로 좋아하는 것 같은건 내 착각일까,착각이 아닐지도 몰라요
수학여행가는데 입을 게 없어,뭘 입어도 멋져요
오늘 날씨 어때,오후에 비가 올 예정입니다
나 좀 내버려 뒀으면,아무도 없는 곳으로 여행을 떠나보세요
머리 기름낀거 티나나,보통 다 압니다
살빼고 담배 끊고 다 했는데,당신을 위한 최고의 투자를 한 거예요
우산을 들고 기다려 준데,우산 같은 사람이네요
괜찮아지고 있어,괜찮아지고 있어 다행이에요
하루하루가 똑같애,마음에 따라 얼마든지 바뀔 수 있어요
반복적으로 이야기를 하는 게 저도 의식이 되거든요 ,항상 설명이 이해를 야기하는 건 아니랍니다 스스로 이해할 시간을 드리는 것도 좋을 거예요
아이라이너 문신 해볼까,화장하는 시간이 줄어들 거예요
책 선물해야지,어떤 분야를 좋아하는지 알아보세요
짝남한테 실망했어요,마음이 헛헛하겠어요
개거지같이 헤어져서 열받아,소리 한 번 크게 지르고 잊어버리세요
나 챙겨줄 사람이 필요해,제가 챙겨드리고 싶네요
오늘 너무 바쁘다,요즘 업무가 많으신가 봐요
너무 배부르다,점심식사는 괜찮으셨나요
연인과 어떤걸로 싸워,기억도 안 나는 사소한 일로 싸워요
지나고나면 ,괜찮아질 거예요
내가 만난 최악의 여자,이제 최선의 여자를 만날 차례예요
이미 잘못이 너무 많아서,더 이상의 잘못은 이해하지 못할 거예요
여자 친구랑 연락이 안돼,걱정되겠어요
내가 연락 끊은 짝남한테 다시 연락올 수 있는 법 좀,먼저 연락해서 대화를 이어나가는 게 수월해요
말이 안 예쁘게 나와,말 하기 전에 생각하고 말하는 습관을 길러보세요
평소 완벽을 추구하는 편이예요 ,그런 성격을 가지고 계시는군요 꼼꼼한 걸 좋아하시나 봐요
전학 걱정된다,걱정하지 마세요 잘할 거예요
어떨때 사랑하는구나 알아,그 사람이 행복해하는 걸 보면서 나도 행복할때요
버스 끊겼다,안전 귀가 하세요
셀프 신행준비 팁 알려줘,신혼여행은 자유여행이죠
매일 계속되는 악몽과 불면증,전문가를 찾아가보는건 어떨까요 도움이 될지도 몰라요
잘한 행동인가 싶네,최선의 선택일 거라 믿어요
비 와,우산 챙기세요
힘들어 미치겠습니다,언젠가 다 잊을 거예요
수염 기를까,길러도 어울리면 길러보세요
다이어트해야 되는데,기초대사량을 높여보세요
생각이 불순,좋은 생각 많이 하세요
편의점 간식 먹어야지,간단하고 좋죠
헤어진지 달,생각보다 많은 시간이 지났네요
짝사랑 중인데 나혼자 드라마 찍음,짝사랑이 그렇게 만드나봐요
내가 왜 해야하는지 모르겠어,그 이유를 찾는 과정이 되겠네요
학교에서 맞았어,부모님이나 선생님께 도움을 청해보세요
텅빔,다시 채워질 거예요
뭔가 말해봐,오늘 헤어졌어 라고 하면 위로해 드려요
마지막 이별,또 다른 사랑이 찾아올 거예요
수신차단의 의미,확실한 거리두기
다 맞춰주고 싶은 사람,정말 사랑하고 있나봐요
내일이면 크리스마스 이브네,메리 크리스마스
한달전에 마음 변한걸 느꼈을때 헤어질 것을,후회되겠지만 지금도 늦지 않았어요
먼저 이별통보해도 후폭풍이 오나,후폭풍은 누구에게나 와요
벌써 방학 끝이라니,방학이 참 짧죠
핸드폰 중독인듯,중독에서 벗어나세요
공복이라 예민해,자연스러운 현상이에요
오늘 세시에 회의있어 분 전에 알려줘,네 알겠습니다
마주칠까,헛된 희망은 자신을 더 괴롭게 만들거예요
너무 힘들다,휴가가 간절하겠네요
나랑 놀아줘,같이 놀아요
이별 두달째,마음의 정리가 아직인가 봅니다
가족들 다 제가 뭘 어떻게 하고 다니든 관심이 없어요 당연한 것 같아요,그런 일이 있으셨군요 제가 그분들의 몫까지 응원해드릴게요
교양수업에서 마음에 드는 애 있어,같은 조가 되길 바랄게요
또 개강이야,즐거운 시작 되길 바랍니다
정말 정말 쉽지가 않네 이럴 땐 어떡해야 할까,마음 가는 대로 하세요
이직 가능할까,취업에 성공할거예요
사랑을 기다리고 있어,능동적으로 찾아보세요
내가 진짜 둔한데 나를 좋아하는지 모르겠어,직접적으로 물어보는게 좋겠어요
제주도 놀러 가고 싶어요,저도 데려가 주세요
웃겨봐,거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요 의외로 재미 있어요
만난지 일 됐는데 여행가재,아직 마음의 준비가 안 됐다고 말해보세요
영화 보러 왔어,저도 영화 보여주세요
내 욕심일 뿐이지,사랑인 거예요
면접 잘 볼 수 있을까,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요
그냥 혼자 밥이나 먹어야지,밥심으로 사는 거죠
주차장에 자리가 없어,한바퀴만 더 돌면 짠하고 나타날 거예요
굿 모닝,반갑습니다
카톡차단에 이제는 프로필 비공개 당했어,잊는 데는 더 도움이 될지도 몰라요
시계침 소리가 크게 들리네,예민한가봐요
짝남한테 크리스마스 선물할건데 추천 좀,목도리는 어떨까요
괜찮은 사람인데 사귀긴 싫어,남자사람친구 여자사람친구 하세요
베프랑 싸움,대화로 풀어보세요
아직도 잊지 못하나봐,자신에게 시간을 더 주세요
짝남이랑 카톡이 끊겼는데 어떻게 더 연락할까,연락할 핑계를 찾아보세요
교양 듣는데 심남 있음 썸 타고 싶다,호감을 어느 정도 표현해보는 것도 좋을 것 같아요
정말 뜨겁게 사랑했어,강렬한 사랑을 하셨네요
지금 미세먼지는 어때,마스크를 착용하시는 것을 추천합니다
년사귄 남자친구의 유흥업소 방문사실을 알아버렸습니다,그런 사람 못 고쳐 씁니다 헤어지세요
서로 말도 잘 안 걸어,충분히 이해해요 그래도 말하지 않으면 누구도 속마음은 모른답니다
회사에는 왜 친구 같은 사람이 없을까,회사는 친구 사귀는 곳이 아니에요
커피 좀 마셔야겠다,좋은 시간 보내시길 바라요
아 너무 피곤하다,잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요
