유저,구분
년 전에 강의실에서 강의를 듣는데 갑자기 목이 가눠지지 않는 거야 ,증상/신체이상/목
목 매달아 죽으려고 준비했는데 실행에 옮기지는 않았어요,감정/자살충동
걔한테 제가 송 선배 좋아한다고 그런 식으로 말한 적도 많거든요,배경/연애
제 눈빛이 건방지대요,배경/대인관계/갈등
나보다 못 했던 사람들 다 붙었는데 내가 운이 너무 안 좋은 거 같다는 생각도 들어,감정/억울함
남편이 그만하라고 화낼 때 한 마디 더 했더니폭력적으로 변하더라구,배경/남편/폭력
얘는 가망이 없다 게으르다 취업이나 시켜라 이러면서,모호함
내가 다른 건 괜찮은데 딱 하나에만 그래,배경/문제
쭉 이러다 보면 정말 자살할 것 같아서 상담 받으려고 와봤어요,내원이유/상담
생활비라고 만원 정도를 들고 오는데 곰곰이 생각해보니까 저한테 얼마를 버는지를 정확히 말을 안 하거든요,증상/피해망상/남편
그 후로 문이 잠겼는지 자꾸 확인하는 버릇이 생겼어,증상/반복행동/확인
더 이상 버틸 수 없을 거 같아,감정/힘듦
여전한데 그냥 안 가고 있어,상태/증상지속
불안하고 초조한 느낌이 늘 베이스로 깔려 있는 거 같아,감정/불안감/초조함
진짜 웃겼어 노력 못해서 미안하다며 끝까지 착한 척 하는게,감정/불만
눈앞에 벌레같은게 보일 때도 있어 진짜 벌레인줄 알고 소리 질렀는데 자세히 보니까 아무것도 아니더라구,증상/환각
성취감이 하나도 없었어,감정/비관적
그래서 그냥 차라리 이사를 가자 마음을 먹었어,배경/이사
그냥 내가 없어졌으면 좋겠다는 생각,감정/자살충동
집안 형편이 안 좋아,배경/경제적문제
심지어 못 갚을 상황이 됐다고 그게 우리가 갚아야 되는 돈이 됐다네요,배경/경제적문제/빚
일주일에 한두번 소주 한 병씩 마셔요,배경/음주/자주
솔직히 내가 군대 가서 죽길 바라는 거 아닐까,증상/피해망상
요즘에는 잠도 못 자는데 밥도 잘 못 먹어,증상/식욕저하/불면
그래서 한 학년을 남겨놓고 휴학한 상태예요,배경/대학/휴학
근데 그러고 나니까 허리가 아픈 거예요 허리는 괜찮았었는데,증상/통증/허리
바쁘게 지낼 땐 생각 안하다가 시간이 나면 생각나면서 우울해져요,감정/우울감
주변에서 소개팅 시켜준다는 사람들도 좀 있긴 한데 걍 그게 귀찮아,배경/남자친구/없음
점심 먹고 이 닦으러 화장실 가는데 귀에서 뭔가 삐익 소리가 들리고 무슨 문제가 생긴건지 걱정되요,증상/이명
경고음처럼 삐익 소리가 계속 나고 밤에 훨씬 심해,증상/이명
년 전에 아버지가 돌아가셨어,배경/부모/죽음
그래서 새 직장 알아보는 일이 더 힘들었던 것 같아요,배경/취업/힘듦
그렇게 엄마 죽고 나니까 집 나간 아빠가 오더라고요 ,배경/부모/아버지
오후쯤 되면 항상 머리가 아파요,증상/두통
사람 없는 시간만 골라서 화장실에 갔어요,배경/문제/소변
아 내가 무슨 감정 쓰레기통인가,감정/힘듦
그렇다고 다시 입시를 준비할 자신은 없는데 왜 이렇게 꼬이는 걸까요,감정/부정적사고
이젠 지긋지긋해,감정/짜증
병원 가면 아무 이상이 없다고 하는데진짜 너무 아프거든,치료이력/검사/이상없음
그러다 작년 월에는 좀 힘들었어요,감정/힘듦
내가 좋은 대학을 가서 취업을 잘하면 좋을텐데,배경/취업
내 나이는 살이야,부가설명
마음이 병 들어가고 있는 것 같아,감정/힘듦
이게 대체 뭘까요,일반대화
기억력이 원래도 좋지 않은데 요즘 정말 심각한 수준이야,증상/기억력저하
건물 층에서 떨어졌어요,증상/자살시도
지갑이나 이어폰 같이 작은 물건이 제자리에 있는지 자주 확인해,증상/반복행동/확인
그래서 마음 맞는 사람 찾기가 더 힘든 것 같아요,배경/연애
무슨 느낌인지 알아,일반대화
원거리 연애라 그런가 크게 심리적으로 가깝다는 느낌이 안 들어요,배경/여자친구/관계소원
학교를 잘 안 나가니까 출석미달로 뜬 수업이 많았어요,배경/학교/결석
아무래도 그거때문인 것 같은데 이것 좀 상담 받고 싶어서 왔어요,내원이유/상담
지금은 운동도 쉬고 있는데 살이 왜 빠지는 거지,증상/체중감소
남자친구들보다는 여자친구들이 편한 것 같아요,배경/대인관계
그러니까 자야 하는데 자지도 못 하고,증상/불면
형은 내년에 입대한다,배경/군대/군입대
책만 읽으면 다른 생각이 들고,증상/집중력저하
도저히 얼굴보고 학교를 못 다닐 거 같아서 휴학했어 나 복학할 땐 군대 가있겠지 싶었거든,배경/대학/휴학
운동도 별로 못해서 축구할땐 끼워주지도 않고 괴롭힘을 당한건 아니지만 사실상 왕따였어,배경/학교/따돌림
오늘 같은 날 기분이 좋아야 하는데 왜 이렇게 우울할까,감정/우울감
걔네랑 친구가 돼서 같이 다니는 게 처음에는 좋았어요,배경/친구
그래서 그냥 부산에서 계속 지냈는데 그러려면 돈이 필요하잖아요,배경/생활
몸은 무겁게 가라앉는데 정신은 말똥말똥한 느낌,증상/불면
얼굴 보기도 싫은데 계속 얽힐 수밖에 없는 상황이 너무 싫었어 오빠를 따르는 다른 애들까지 다 싫더라,증상/대인기피
나도 모르게 버럭 화 낼 때도 있고,감정/화
지금 이렇게 내 앞에서 웃고 있어도 뒤에서 욕하진 않을까,증상/피해망상
스스로 생각하기에도 무리를 많이 했다 싶었거든요 ,증상/피로
고등학교 졸업하자마자 취업준비를 했어요,배경/취업/준비
그렇게 봄이 지나가면 한순간에 우울해져요,감정/우울감
제가 쭈꾸미를 정말 좋아하는데 사진을 봐도 아무 감흥이 없는 거예요,증상/식욕저하
제가 기독교여서 더 그랬던 것 같아요 그건 정말 말도 안 되는 거잖아요,배경/종교
유치원 특수 어린이 교육 과정을 밟고 있어요 ,배경/학업
먼지가 되고 싶어 ,감정/자살충동
웬만하면 계속 혼자 살려고 해,배경/결혼/미혼
어제 아침까지는 외출 다녀왔어요 아침까지 사람들과 친구들과 있는거에요 별거 하지는 않아요 술 마시고 대화하고,배경/생활
그런데 퇴원하고 난 후부터 계속 잠을 잘 못 자겠는 거예요,증상/불면
그리고 집 오면 밤 열 시가 훌쩍 넘고,배경/생활
남편 소개해준 오빠가 분명히 그 농장이 되게 알짜배기라고 수익도 잘 나고 탄탄하다고 그랬었거든,배경/남편/경제적문제
귀에서 삐 소리 나는 건 밤에 더 심하게 들려요,증상/이명
내가 좋아해서 쫓아다녔는데이렇게 시들해질 줄 몰랐어,감정/무미건조
원하는 대학에 못 가서 재수를 했어요,배경/대학/재수
처음 도서관에서 단독근무 할 때는 혼자 일해서 굉장히 좋았거든,배경/아르바이트
낮 동안은 막 기운이 넘치다가 밤이 되면 잠이 잘 안 와요,증상/불면
그 친구를 부러워했어요 ,배경/남자친구/동경
친한친구도 없고 항상 혼자였어,배경/생활/혼자
아직 초등학생인데 벌써 그럴 나이는 아니잖아,모호함
안경을 써도 렌즈를 껴도 이러니 도저히 어떻게 해야 할지 모르겠어,증상/시력저하
최근에 내가 웃은 적이 별로 없구나,감정/우울감
그래서 언젠가부터 저녁에 반주로 술을 조금씩 마시기 시작했어요,배경/음주
근데 너무 귀찮다,증상/무기력
이 집안 사람들은 나를 얼마나 괴롭혀야 속이 시원한지 모르겠어,배경/가족/갈등
둘째 아주버님은 아예 비혼주의야 자기 혼자 살겠대,배경/시댁
그래서 이거 상담 차 한 번 와봤어요,내원이유/상담
근데 학년 때부터 학교에 가기 싫은 거야,배경/학교/결석
그러고 나서 기억이 없었어요 일어나보니 반나절은 지나있었죠,증상/기절
근데 부모님 두 분 다 나한테 관심이 없으니까 뭐 둘 다 몰랐지,배경/부모/무관심
언니랑 비교하는 제 자신이 너무 초라하게 느껴지네요,감정/자괴감
이상하게 불안하고,감정/불안감
그런데 알고만 거예요 무슨 짓을 하고 있는지,배경/문제
그 사실을 알고도 아무렇지 않더라,감정/무미건조
너무 놀라서 조퇴하고 병원에 갔는데 그냥 신경성이라고 별문제가 없다고 하더라구,치료이력/검사/이상없음
어제는 수업중에 창문으로 뛰어내리고 싶다는 생각했어요,감정/자살충동
진료비만 비싸고 진료시간이 길지도 않고,감정/불만
년 전에는 아무데도 안 가고 달 동안 집에서만 있었어요,증상/은둔
그 뒤론 그 병원에선 나를 치료 안 해주더라,부가설명
직장 다닌 지 년 정도 됐어,배경/직장
어떨 때는 들리고 어떨 때는 괜찮으니까 언제 그런 증상이 나타날까 불안해,감정/불안감/증상재발
그런 소릴 들으면 아 내가 충분히 할 수 있는 일인데 내가 너무 게으르다 하면서 죄책감이 들어요,감정/죄책감
근데 지난 번에 점을 봤는데 물을 가까이 하지 말라는 거예요,부가설명
어떻게 해야 잠을 잘 잘 수 있을까,증상/불면
제가 원래 건강체질이거든요 뼈도 통뼈고,배경/건강문제
어떻게 하면 좋을까,모호함
뭐 내 말을 아무도 안 들으려고 하니까,감정/서운함
나한테 잘해주는 사람도 얘도 뭔가 속셈이 있는 거 아닐까 이런 생각 들고,감정/불신
그냥 없었으면 좋겠어,감정/부정적사고
너무 우울해요,감정/우울감
외롭지는 않아요 제가 항상 선택하는 거니까 그냥 제 스스로 괴로울 뿐이죠,감정/괴로움
그래서 아빠가 집에 오시면 항상 부부싸움을 하셨어요,배경/부모/싸움
걔는 한국에서 고등학교를 다녔고 저는 미국에서 다녔어요,배경/학교
처음부터 좋아했어 처음 본 순간부터 운명처럼 끌렸던것 같아,배경/연애
근데 이미 결혼했는데 어쩌겠나 싶어서 더 생각 안 했어요,배경/남편
예전부터 부모님이랑 제가 원하는 진로가 달랐어요,배경/진로
어렸을 때부터 남들 갖고 있는 거 꼭 가져야 하고 못 가지면 드러누워서 울고 욕심이 많았대,배경/성격/욕심많음
딱히 스트레스 받는 건 없었는데 진짜 그런 문제였던 건가 싶어서 걱정돼,감정/걱정
남편이 스트레스를 받으면 술을 많이 먹더라고요 저도 힘들 때 혼자 마시거나 남편이랑 같이 먹어요,배경/남편/과음
눈 뜨는게 두렵네요,감정/두려움
뭘 먹어도 느끼해,증상/메스꺼움
년 간 사귄 여친이랑 헤어진 지 한 달 됐어요,배경/여자친구/이별
저렇게 착하게 보여도 뒤에선 나한테 악플 달고 있는 거 아닐까,증상/피해망상
처음부터 모든 게 잘못됐던 거야,감정/부정적사고
아침에는 몸이 무겁고,증상/불면
거리가 꽤 되어서 난 서울 여친은 포항 그래도 서로 극복할 수 있다고 믿었어,배경/연애
호흡이 달려요,증상/호흡곤란
시에 누우면 시 시는 돼야 잠이 들어,증상/불면
호신용으로도 좋잖아 누가 위협하면 언제든 찌를 수 있으니까,감정/생각
원래는 저 혼자 작게 하고 있었는데 남편이 퇴직하고 같이 하고 싶다고 했어요,배경/사업/남편/동업자
식사는 하루에 한끼 많이 먹으면 두 끼 먹어요,증상/식욕저하
한 번은 속이 쓰려서 새벽에 깼는데 남편은 너무 평화롭게 잘 자는 거야  ,증상/속쓰림
작은 소리에도 깜짝깜짝 놀라고 정상적인 생활이 안 돼요,감정/과민반응
근데 한편으론 내가 왜 이러나 걱정이 되기도 해요,감정/걱정
나를 자유롭게 놔뒀으면 좋겠어,감정/답답
분통 터져 죽겠어요,감정/분노
그 때 거기 불량배들 한테 돈 뺏기고 그랬거든 너무 무서웠어,감정/무서움
어른 돼서 남자를 만나려고 하니까 너무 조건 따지고 뭐 따지고 잘 안 되더라고요,배경/남자친구/없음
컴퓨터는 잘 껐는지 쓸데없는 글을 인터넷에 쓴 건 아닌지 계속 확인해요,증상/반복행동/확인
차에 타기가 무서워요,감정/두려움/자동차
월요일부터 아무때나 가슴이 두근거리는데 이게 뭘까,증상/두근거림
밥 먹고 바로 뛰긴 했는데 뭐 항상 그랬으니까 이거때문은 아닌 것 같아,배경/생활/운동
평소에는 목 끝까지 울음이 차있는 느낌이야 ,감정/슬픔
그래서 아이들한테 항상 그게 좀 미안했어요,감정/미안함/자녀
딱히 아버지를 좋아한 것도 아닌데 이래서 저도 제가 이상하고,모호함
회계 일도 나랑 잘 맞는 것 같고 딱히 재밌는건 아니지만뭐 일이 재밌으려고 하는 것도 아니잖아요,배경/직장/양호
마음을 안정시키는 방법은 뭐가 있을까,모호함
애들도 이제 커서 손이 많이 가는 것도 아니고,배경/자녀
스트레스 받아서 진짜 죽을 거 같아요,감정/힘듦/스트레스
저는 그냥 계속 안전하게 집안에만 있고 싶어요,증상/은둔
남편이 나한테 더 많이 신경 써주면 좋겠어,배경/남편/무관심
나는 말로만 헤어지자고 하는 줄 알았는데 못 참겠다고 짐 싸서 나가버렸어,배경/연애/이별
결국 시험 다 망치고 전문대 말고는 갈 데가 없더라,배경/대학/실패
이런 감정이 들면 몸도 마음도 너무 괴로워,감정/괴로움
몸무게가 에서 까지 빠졌어요,증상/체중감소
불안해요,감정/불안감
힘들면 잠시 앉아서 쉬면 낫더라고,자가치료/충분한휴식
물론 지금은 나아졌지만 그래도 그 땐 정말 힘들었지,감정/힘듦
나랑 같이 다니는 애들 다 엄청 잘 타는데 나만 안 탈 수 없잖아,모호함
한번 그러고 나서는 건강 걱정이 많아졌어 ,감정/걱정/건강염려
휴학을 오래 했어요,배경/대학/휴학
그 때 얼마나 힘들었는지 몰라요,감정/힘듦
근데 그걸 꼭 지가 도와줘야 해 과에 남자 지밖에 없대 아 짜증나,감정/짜증
그래서 그런 거지 막 평소에 엄청 우울하다거나 그렇진 않아요 오히려 괜찮아요,상태/양호
군대가기 전까지만 밴드활동 틈틈히 하면서 지내려고해,배경/생활
근데 그 후로 비 오는 날만 되면 부쩍 우울해져요,감정/우울감
분명히 잠들 때까지는 괜찮았는데 밤중에 숨이 막혀서 잠이 깼어,증상/호흡곤란
그래서 내가 왜 이러지 싶어서 마음을 좀 진정시키려고 해도 잘 안 돼,자가치료/심리조절/증상지속
그러니까 점점 제 자신이 별 거 아닌 것 같고 그랬어요,감정/자존감저하
그 와중에도 신랑은 놀러 다니고 저에게는 관심을 안 가지더라고요,배경/남편/무관심
저 사람은 날 싫어하나 보다 쟤는 날 싫어해 이 생각 들고,증상/피해망상
남편이 옆에 있으면 응급처치라도 할 수 있잖아요,배경/남편/의지
어제 퇴근길에 그런 생각이 드는 거야,모호함
만나고 나서 진짜 딱 너무 잘 맞는다 싶어서 결혼하고 싶더라구요,배경/여자친구
아무 일도 없는데 우울해서 그냥 펑펑 울고 싶을 때가 있어요 ,감정/우울감/눈물
지난 번에는 냉장고에 핸드폰을 넣어놓고 그걸 다음 날에 생각해낸 거야,증상/기억력저하
그러다 갑자기 어디서 히히히 거리는 소리가 들리는 거예요,증상/환청
근데 남친은 자기 전공에 어느 정도 맞는 걸 하게 돼서 잘 하더라구요,배경/남자친구
이성친구가 한 명도 없어,배경/대인관계/협소
살에 일찍 시집갔어,배경/결혼
담임이 엄마한테 전화를 할 수도 있는 거고 그래서 불안했어요,감정/불안감
순간 나도 깜짝놀랐어,모호함
뭘 해도 몰입이 안 되는 느낌이에요,증상/집중력저하
나 진짜 쪽팔려서 내일 학교 어떻게 가지,감정/창피함
보통은 술 마시면서 풀어 산책하거나,배경/음주
결혼 전에는 백화점에서 일을 했었어요,배경/직장
당신은 괜찮아요,일반대화
나름 잘 되는 사업이었는데 망하는 건 한 순간이더라,배경/사업/실패
걔를 보면 내가 불안해져,감정/불안감
구강 내에 문제가 있어 어릴 때부터 종종 치료를 받았는데,배경/건강문제
남들은 다 저만치 가는데 나는 혼자 여기 멈춰 서서 뭘 하고 있나 싶고,감정/자신감저하
무서워서 몸도 제대로 안 움직이는 것 같았어요,감정/무서움
그러다 쓰러질 것 같아서 결국 물 끄고 한참을 서 있었어요,증상/기절예기
나는 원래 한 명만 낳아서 잘 기르고 싶었거든,배경/임신
어릴 때부터 부모님이 저한테 무관심 한게 있거든요,배경/부모/무관심
근데 내가 하고 싶어서 추천한 노래로 안 하게 된 거야,모호함
다행이지 뭐,감정/모호함
저를 제일 힘들게 하는 사람들이에요,감정/힘듦
아무튼 그래서 해봤는데 별로 기분이 좋진 않더라 좀 불쾌했어,감정/불쾌감
원래 성격이 좀 내성적인 편이예요,배경/성격/내성적
괜히 오빠 주눅들게 왜 그러나 싶어,배경/가족/갈등
제가 잘 알지도 못 하는 걸 하려니까 너무 힘들고,감정/힘듦
교육 회사 마케팅 부서에서 일하고 있어,배경/직장
경제적인 문제만 좀 풀려주면 좋겠는데 쉽지가 않네요,감정/걱정/경제적문제
숙제 같은 거 있으면 메모장에 적어놓고 다 할 때까지 확인하고 또 하고,증상/반복행동/확인
남편이 술을 너무 많이 마셔 술 밖에 모르는 사람이야 술이라면 자다가도 벌떡 깨는 것 같아,배경/남편/과음
동기 모임도 안 나가고 서서히 사람들과의 접촉이 줄어들었어요 ,증상/대인기피
전에 회사 분들은 굉장히 밝고 좋았는데 여긴 일만 하고 일 할 때는 서로 말도 안 하고,배경/직장/불만
사람이 많은 자리라서 그런지 굉장히 갑갑하게 느껴졌어,감정/답답/사람많은곳
중국에 좀 자주 가는 편이에요,배경/생활/여행/해외
이 때 제일 힘들고 스트레스 많이 받았던 것 같아,감정/힘듦/스트레스
수면제를 먹어도 아무 소용이 없어요,증상/불면
입맛도 없고 뭘 해먹어야 할지 모르겠어,증상/식욕저하
제 생각에 우리는 크게 가깝지는 않아요 항상 거리를 유지하려고 해요 그게 편하니까요,배경/여자친구/관계소원
내일이라도 세상이 멸망해버렸으면 좋겠다,감정/부정적사고
밤엔 너무 자주 깨,증상/불면
이러니 내가 안 아프고 배겨,감정/짜증
주변에서 병원에 가보라고 해서 검사도 받아봤는데 모든게 정상이라고 하더라구요,치료이력/검사/이상없음
남편도 저랑 비슷한 성격인데 저보다는 좀 더 나아요,배경/남편
그걸로 동생들 뒷바라지 다 하고 어렵게 살았죠,배경/경제적문제/가난
집에서는 아예 벗고 지내요,배경/문제/불편감/옷
그 뒤로는 자가용은 그냥 집에 두고 다니고 있어요,배경/생활/불가능/운전
몸무게는 그대로인데 체력은 엄청 떨어졌어,증상/체력저하
최근 몇 년 사이에 몸무게가 많이 불었어,증상/체중증가
회사 분위기 때문에 그런가 좀 경직돼있어서 그런 것 같기도 하고,배경/직장
이렇게 살지 말아야겠다는 생각이 들더라 마침 영장이 나와서 군대 갔다와서 사람되자 싶었어,배경/군대/군입대
퇴원하고 나서 잠을 많이 설쳤어 ,증상/불면
자다가 갑자기 숨이 안 쉬어져서 눈을 떴어 머리가 핑핑 돌고 죽을것 같아서 바로 응급실에 갔지,증상/공황발작
배가 고프지 않고 피곤하지도 않아요,상태/양호
 보는 것도 귀찮아요,증상/무기력
자기 마누라를 갖고 놀았다나뭐라나,배경/타인/갈등
검사를 하니까 이상이 없대요,치료이력/검사/이상없음
아침에 일어나면 항상 기분이 더러워,감정/불쾌감
그래서 비만클리닉에서 상담도 받고 도 끊었어,배경/건강문제/다이어트
무슨 문제가 있는 건 아닐까 싶어서 걱정이 돼요,감정/걱정
크게 불만 없이 살아왔는데 요즘은 제 자신이 멍청하게 느껴져요,감정/자괴감
갑상선 수술 이후에 약을 복용하고 있어요,배경/건강문제/갑상선
그래서 고등학생 때부터 병원에서 약 타서 먹었어,치료이력/병원내원/복약
이 결혼을 유지할 힘도 없고 인내심도 다 됐어,배경/이혼
저를 보호해주려고 미행을 붙인 거 아닐까요,증상/과대망상
근데 년도에 로 다들 그렇게 한 번에 갔죠,배경/사업/실패
막 잠도 못 자고 그랬어서 잠은 요즘도 계속 못 자,증상/불면
잘 지내는 것 같더만 뭣 때문에 이별한거냐고 친구들이 묻데,배경/대인관계
영화에서나 일어나는 불행이 하필 나한테 온거야 ,감정/부정적사고
아빠는 진짜 구제불능이에요,배경/부모/갈등
눈 뜨자마자 보이는 게 제 책상인데 거기 아래에 누가 있었어요,증상/환각
일 전에는 새벽에 일어나서 화장실을 가다가 순간적으로 정신을 잃었어,증상/기절
근데 요즘엔 별의 별 걱정이 다 드는 거야,감정/걱정
돌아갈 수 있다면 절대로 결혼 따윈 안 할거예요,감정/후회/결혼
한국 들어오고 되는 일이 하나도 없어,감정/분노
원래 굉장히 친화력이 좋은 편이었는데성격이 완전 바뀐 느낌이예요,증상/성격변화
분정도 갇혀있었는데패닉상태였어요,감정/불안감
그러다 삼수까지 하게 됐는데 정말 너무 힘들어요,감정/힘듦
지들이 뭔데 내 소중한 딸한테 그러는지 너무 억울하고,감정/억울함
오늘은 또 어떤 재수 없는 일이 나를 괴롭힐까 막 이런 생각이 들면서 짜증이 나,감정/부정적사고
신혼집 차릴 형편이 안 되니까,배경/경제적문제
기분이 너무 안 좋아요,감정/기분저하
막걸리를 사와서 세 병을 혼자서 다 먹었나 봐요,배경/음주/과음
나는 왜 이런 삶을 살고 있나 막 다 허무해지고,감정/허무함
수면제를 한번에 다 털어 넣고 죽어버리면 어떨까,감정/자살충동
사람 많은 곳도 별로 안 좋아해요,증상/대인기피
그냥 잠을 많이 잤던 것 같아요 보통 저녁 시부터 오전 까지 자거든요,증상/과수면
최근 들어선 잠도 안 와 자꾸 그 애들 생각이 나고 내가 뭘 그렇게 잘못했나 싶기도 하고,증상/불면
너무 불안해서 양손을 꽉 잡았어 ,감정/불안감
신기하게 나이를 먹어도 연애감정이 생기는 거에요,배경/연애
근데 부모님은 더워서 그런 거라고 가만히 심호흡을 하면 된대,배경/부모
아니 어떻게 자식이 아픈데 그런 식으로 말을 할 수가 있어요 ,감정/서운함
아무튼 그런데 여친이 연수 때문에 지금 포항 가 있거든,배경/여자친구
동료들 눈치도 보이고 결국 회사를 그만뒀어,배경/직장/퇴사
요즘 정신적으로 문제 없는 사람이 어디 있어요,감정/억울함
자리 나면 말해주겠다고 얼마 안 걸릴 거라고 그런 소리도 들었는데 ,배경/직장
식당 가도 주문도 제대로 못하고 처음 보는 사람이랑 같이 있는게 죽기보다 싫거든 ,배경/성격/내성적
손쓸 방도도 없었어요 그냥 세상이 다 무너진 것 같더라구요,감정/절망감
몸무게 유지하려고 거기서는 과일만 먹었어요,배경/건강문제/다이어트
아직도 그게 꿈에 나와 진짜 끔찍한 꿈으로,증상/악몽
년 전부터 지속적으로 우울했어요,감정/우울감/증상지속
잘 안되네요 저도 너무 괴로워요,감정/괴로움
그래도 저희가 점점 자라면서 조금씩 나아지긴 했는데 여전히 힘들어요,감정/힘듦
계속 이렇게 살 수는 없는데 어쩌면 좋을까,감정/걱정
당신은 애들한테 신경이나 쓴 적 있냐 늦게 들어올 때 내 눈치 본 적 있냐 내가 힘들다고 하면 뭘 그렇게 잘 해줬냐고,배경/타인/갈등
그냥 되게 답답해요 문을 열어놓거나 해도 답답해요,증상/가슴답답
그런데 요즘에는 답답해,감정/답답
걔를 이 때 잠깐 만났어요 그 때 좀 안 좋게 헤어졌거든요,배경/여자친구
뜬 눈으로 밤을 지새다 보니까 낮에 항상 가슴이 두근거리거든요,증상/두근거림/불면
줄 타기도 잘 못한 거 같고 좋은 맘으로 일을 해도 시민들한테 욕 먹는 경우가 많아서 회의감이 커요,감정/후회
근데 그 후로 가족들이 저를 없는 사람 취급하더라구요,배경/가족/무관심
병원에 가보니 갑상선에 문제가 생겼다고 하더라구요,배경/건강문제/갑상선
생리가 달인가 안 나왔는데 대수롭지 않게 넘어갔어요,증상/생리불순
그게 다 무슨 소용이 있을까 그냥 내가 멍청한 건데 이런 생각 들고,감정/자존감저하
체중이 키로나 줄었어요,증상/체중감소
내 마음이랑 상관없이 주기적으로 우울증이 오는 것 같아 ,감정/우울감/증상지속
음악을 듣거나 명상을 해도 그때뿐이야,자가치료/심리조절/증상지속
금융권에서 계속 근무했어요,배경/직장
밥에 농약이라도 타서 죽여버리고 싶어요,감정/살인욕구
그래서 대학 들어갔어요,배경/대학
외나무다리에 서 있는 기분이죠 ,감정/불안감
지금 기회를 잡아야겠다는 생각에 적극적으로 대시해서 사귀게 됐어,배경/연애
요즘 앉았다 일어서면 너무 어지럽고 세상이 빙글빙글 돌아,증상/어지러움
제가 처음에 사업 벌렸을 때 딱 천만원 있었어요,배경/사업
심지어 술을 매일매일 마셨어,배경/음주/알코올의존
근데 그 일 있고 한 일주일 그쯤 후부터 막 숨이 안 쉬어져,증상/호흡곤란
허리가 많이 아파서 잘 못 움직여요 ,증상/통증/허리
저저번 달부터 다이어트 중이라 스트레스가 좀 많긴 했어,배경/건강문제/다이어트/스트레스
밤에 잠 못 드는 시간이 더 길어요,증상/불면
얼마 전에 시누이가 애를 낳았거든요,배경/시댁
그럴 때 마다 결혼을 후회했어요,감정/후회/결혼
괜히 나만 손해본거 같아서 짜증이 나긴 했는데별 수 없었죠,감정/짜증
혹시 몸에 무슨 문제가 있는 건가 해서 병원 갔는데 이상 없대요,치료이력/병원내원/이상없음
여자친구도 그 즈음에 할 일이 없어서 저랑 같이 내려가서 살았어요,배경/여자친구/동거
근데 사람들 앞에서 그럴까봐 너무 무서운 거야,감정/무서움
매번 이럴 때마다 내표현에 문제가 있는 걸까 생각하게 돼,감정/생각
집 사주는 것 때문에 이렇게까지 속상해야 하나 싶고,감정/속상함
앞에 있는 사람이 뒤돌아서 목을 조를 것 같기도 하고,증상/피해망상
자려고 누워도 계속 뒤척이기만 하고 잠을 못자서 찬송가 틀어놓고 자,증상/불면
근데 요즘 가만히 있어도 자꾸 야한 게 생각나고,증상/성욕상승
법대가려고 재수를 했거든,배경/대학/재수
남자친구가 전화 안 받으면 짜증나고 받을 때까지 전화를 하긴 해,배경/남자친구/집착
막 엄청 고통스럽게 아프다기 보단 어느날은 머리가 아프고,증상/두통
저는 제 할 일 열심히 잘 했다고 생각했는데 남는 건 하나도 없는 거 같고 허탈해요,감정/공허감
다시 다 되돌리고 싶은데 그건 힘들겠죠,감정/후회
정신을 차리고 보면 입에 뭘 집어넣고 있어요,증상/폭식
이게 커가면서는 좀 덜해졌는데 요즘 들어 문득 계속 걱정이 돼,감정/걱정
바로 내려서 의자에 앉아서 쉬니까 좀 낫더라고요,배경/생활/자연소멸/증상
신경 쓰이는 일 있으면 밤새 잠을 못 이뤄요,배경/문제/불면
근데 그 후에도 비슷한 것만 보면 너무 불쾌하고 더럽게 느껴지는 거예요,감정/불쾌감
목이 좀 이상하다 생각했던 건 년 전 여름쯤이었어요,증상/신체이상/목
그냥 뒤에서 보는 게 편한 타입,배경/성격/내성적
침대에서 시간 넘게 뒤척거리는 날도 있어,증상/불면
놀라서 허공에 손을 저으면 아무 것도 없고,증상/환각
온몸이 다 아파,증상/통증
술을 안 마시면 안 되겠는데 어떡해,배경/문제/알코올의존
너무 걱정스러워요,감정/걱정
예전부터 이명이 좀 들려서 그거 때문은 아닐까 했거든요,증상/이명
사는게 지옥이네요,감정/부정적사고
나중에 엄마가 알게 될 텐데 어떡하지 생각이 들면서도 발은 안 떨어져요,감정/걱정
근데 거기 다니는 애들이 저를 어떻게 생각할지 너무 걱정이 되더라고요  ,감정/걱정
사실 앞으로 또 그럴까봐 너무 무서워요,감정/무서움
평소에 성격이 극단적이라는 소리를 좀 많이 듣긴 해,배경/성격/극단적
나가면 뭐 해,증상/은둔
솔직히 작정하고 속이려 들면 어느 누가 안 속겠어요,모호함
결국 개월을 더 쉬겠다고 했어,배경/생활/휴식
사람이 만나기 싫어요,증상/대인기피
회사에서 사람들이 저보고 자기 중심적인 면이 있다는거에요 ,배경/성격/자기중심적
이 증상이 꽤 오래 가니까 나중엔 너무 짜증나서,감정/짜증
순간 너무 놀라서 기절할 뻔 했지 뭐야,증상/기절예기
할 수 없어서 대학병원에 입원해서 정밀검사를 해봤어 ,치료이력/검사
아버지가 골프비로 한 달에 만원을 썼더라구 ,배경/부모/갈등
나 진짜 몸에 큰 병 있으면 안 되는데,증상/건강염려
온 몸에 힘이 풀리더라구요,증상/힘빠짐
정말 쓰러지겠다 싶을 때만 음식을 먹었어요,증상/식욕저하
마음이 추워,감정/외로움
요즘 일하기도 싫고 살 맛 안 나,감정/의욕상실
죽여버리고 싶어요 정말,감정/살인욕구
